"","Step","user","system","elapsed"
"user.self","Dereplicted_RandomSeq_input_uncompress",47.34,0.256,47.5900000000001
"user.self1","Dereplicted_RandomSeq_input_compress",66.048,0.167999999999999,66.3829999999998
