"filename","read_count"
"Sea18_COI_R1_S8_R1_001.fasta.gz",10000000
"Sea18_COI_R2_S18_R1_001.fasta.gz",10000000
"Sea18_COI_R3_S28_R1_001.fasta.gz",10000000
